seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
684,ketoBig,10861,48,18,budget,2,100,true,4,1580,141,217,0.1875,0.4583333333333333,0.10416666666666667,0.041666666666666664,0.20833333333333334,9,1,normal,false,7,16,816,2335,1330,1440,4940,false,true,true,4490,10,6371,38,2,2|6
685,ketoBig,2155,30,0,budget,0,69,true,3,450,59,89,0.03333333333333333,0.9666666666666667,0,0,0,1,7,normal,false,4,11,70,2085,0,0,0,false,false,false,0,0,2155,30,0,
686,ketoBig,3223,32,2,budget,0,70,true,6,1080,57,113,0.375,0.625,0,0,0,3,10,crash,false,9,9,528,2695,0,0,0,false,false,false,0,0,3223,32,0,
687,ketoBig,4473,32,2,budget,0,76,true,5,700,90,143,0.125,0.84375,0.03125,0,0,2,2,crash,false,4,14,368,3865,240,0,0,false,false,false,0,0,4473,32,0,
688,ketoBig,3024,30,0,budget,0,66,true,3,270,83,116,0.16666666666666666,0.8333333333333334,0,0,0,2,13,normal,false,4,11,394,2630,0,0,0,false,false,true,0,0,3024,30,0,
689,ketoBig,3435,34,4,budget,0,88,false,3,585,88,124,0,0.9117647058823529,0.058823529411764705,0.029411764705882353,0,2,1,normal,false,5,11,0,3105,150,180,0,false,false,false,0,0,3435,34,0,
690,ketoBig,1994,30,0,budget,0,52,true,3,285,62,104,0.5,0.5,0,0,0,6,5,normal,false,5,14,699,1295,0,0,0,false,false,true,0,0,1994,30,0,
691,ketoBig,27800,101,71,budget,3,100,false,6,1990,328,453,0,0.5346534653465347,0.26732673267326734,0.04950495049504951,0.1485148514851485,30,2,normal,false,5,63,0,8735,8140,2085,8840,false,true,false,7790,15,20010,86,3,4|5|5
692,ketoBig,4895,30,0,budget,0,66,true,5,580,92,139,0,1,0,0,0,0,-1,normal,false,3,15,30,4865,0,0,0,false,false,false,0,0,4895,30,0,
693,ketoBig,5900,30,0,budget,0,66,true,5,1295,97,177,0.1,0.9,0,0,0,1,30,normal,false,4,14,240,5660,0,0,0,false,false,true,0,0,5900,30,0,
694,ketoBig,4435,30,0,budget,0,66,true,5,835,93,139,0.03333333333333333,0.9666666666666667,0,0,0,1,26,normal,false,8,12,20,4415,0,0,0,false,false,false,0,0,4435,30,0,
695,ketoBig,9800,41,11,budget,1,100,true,6,2880,116,174,0.24390243902439024,0.5365853658536586,0.07317073170731707,0.024390243902439025,0.12195121951219512,7,3,crash,false,7,18,445,3500,500,495,4860,false,false,true,4630,5,5170,36,1,4
696,ketoBig,33770,81,51,budget,5,100,true,7,3780,305,390,0.012345679012345678,0.4691358024691358,0.16049382716049382,0.04938271604938271,0.30864197530864196,15,2,normal,false,5,43,295,5800,3770,1185,22720,false,false,false,23210,25,10560,56,4,2|6|4|2
697,ketoBig,2545,30,0,budget,0,69,true,3,290,75,90,0.03333333333333333,0.9666666666666667,0,0,0,1,25,normal,false,4,11,15,2530,0,0,0,false,false,false,0,0,2545,30,0,
698,ketoBig,7885,49,19,budget,1,100,false,4,780,131,178,0,0.7551020408163265,0.12244897959183673,0.02040816326530612,0.10204081632653061,8,2,normal,false,4,26,0,4705,690,90,2400,false,true,true,2370,5,5515,44,1,4
699,ketoBig,16596,60,30,budget,2,100,true,7,2760,184,273,0.11666666666666667,0.4666666666666667,0.2,0.05,0.16666666666666666,14,2,normal,false,5,34,701,4705,1700,450,9040,false,true,true,8740,10,7856,50,2,4|4
700,ketoBig,2080,30,0,budget,0,63,true,3,240,61,89,0.03333333333333333,0.9666666666666667,0,0,0,1,12,normal,false,7,11,105,1975,0,0,0,false,false,true,0,0,2080,30,0,
701,ketoBig,10435,61,31,budget,1,100,false,5,830,171,229,0,0.6885245901639344,0.21311475409836064,0.01639344262295082,0.08196721311475409,12,2,normal,false,5,26,0,5060,3530,765,1080,false,false,false,1050,5,9385,56,1,2
702,ketoBig,8918,51,21,budget,1,100,true,8,2150,141,218,0.0784313725490196,0.6862745098039216,0.11764705882352941,0.0196078431372549,0.09803921568627451,9,2,normal,false,6,21,208,5990,860,420,1440,false,false,false,1470,5,7448,46,1,2
703,ketoBig,2748,32,2,budget,0,77,true,3,285,68,113,0.0625,0.90625,0.03125,0,0,1,18,crash,false,6,15,143,2425,180,0,0,false,false,true,0,0,2748,32,0,
704,ketoBig,5070,42,12,budget,0,96,false,4,910,109,141,0,0.8095238095238095,0.16666666666666666,0.023809523809523808,0,6,1,normal,false,12,15,0,3295,1190,585,0,true,true,false,0,0,5070,42,0,
705,ketoBig,7050,41,11,budget,1,100,true,6,1260,111,156,0.024390243902439025,0.7804878048780488,0.04878048780487805,0.024390243902439025,0.12195121951219512,4,2,crash,false,8,15,80,4240,600,270,1860,false,false,true,2010,5,5040,36,1,3
706,ketoBig,3069,32,2,budget,0,78,true,4,360,74,117,0.21875,0.75,0.03125,0,0,3,2,crash,false,6,10,174,2775,120,0,0,false,false,false,0,0,3069,32,0,
707,ketoBig,6681,44,14,budget,0,99,true,4,900,117,189,0.22727272727272727,0.6363636363636364,0.11363636363636363,0.022727272727272728,0,7,2,crash,false,6,19,371,4645,900,765,0,true,true,false,0,0,6681,44,0,
708,ketoBig,6017,46,16,budget,0,94,true,5,600,124,161,0.17391304347826086,0.6956521739130435,0.10869565217391304,0.021739130434782608,0,10,4,normal,false,6,20,227,4185,1470,135,0,true,false,false,0,0,6017,46,0,
709,ketoBig,3022,34,4,budget,0,82,true,3,340,80,136,0.2647058823529412,0.6764705882352942,0.058823529411764705,0,0,2,2,crash,false,7,11,352,2520,150,0,0,false,false,false,0,0,3022,34,0,
710,ketoBig,6265,38,8,budget,0,93,true,8,2020,95,154,0.15789473684210525,0.7894736842105263,0.05263157894736842,0,0,8,2,normal,false,10,12,240,4675,1080,270,0,true,false,false,0,0,6265,38,0,
711,ketoBig,22305,55,51,lock,3,100,false,6,4080,172,228,0,0.34545454545454546,0.34545454545454546,0.03636363636363636,0.2727272727272727,20,2,normal,false,4,34,0,1905,3250,4230,12920,false,true,false,9200,15,13105,40,3,2|4|3
712,ketoBig,5538,32,2,budget,0,74,true,5,1150,97,153,0.125,0.84375,0.03125,0,0,2,1,normal,false,4,14,233,5125,180,0,0,false,false,false,0,0,5538,32,0,
713,ketoBig,6780,42,12,budget,0,87,true,5,665,133,188,0.047619047619047616,0.8333333333333334,0.11904761904761904,0,0,5,5,crash,false,4,27,90,6180,510,0,0,false,false,false,0,0,6780,42,0,
714,ketoBig,5243,36,6,budget,0,91,true,4,1380,92,152,0.1388888888888889,0.7777777777777778,0.05555555555555555,0.027777777777777776,0,7,2,normal,false,6,16,243,3065,1530,405,0,true,false,true,0,0,5243,36,0,
715,ketoBig,12355,45,15,budget,1,100,true,8,3680,142,207,0.022222222222222223,0.6666666666666666,0.17777777777777778,0.022222222222222223,0.1111111111111111,7,2,normal,false,8,17,30,7435,1130,900,2860,false,true,false,2770,5,9585,40,1,3
716,ketoBig,4498,32,2,budget,0,71,true,4,1000,87,153,0.21875,0.78125,0,0,0,4,1,normal,false,3,13,283,4215,0,0,0,false,false,false,0,0,4498,32,0,
717,ketoBig,3818,32,2,budget,0,70,true,4,575,82,158,0.3125,0.6875,0,0,0,6,6,normal,false,3,17,973,2845,0,0,0,false,false,false,0,0,3818,32,0,
