seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1007,lookahead,23900,73,43,budget,3,100,true,6,2370,250,330,0,0.5616438356164384,0.1643835616438356,0.0684931506849315,0.2054794520547945,14,9,normal,false,5,42,50,7725,2890,2475,10760,false,true,true,10700,15,13200,58,3,4|4|2
1008,lookahead,21175,61,31,budget,3,100,false,6,4980,192,269,0,0.5737704918032787,0.14754098360655737,0.03278688524590164,0.2459016393442623,10,13,normal,false,7,30,0,6870,1410,1395,11500,false,true,true,10780,15,10395,46,3,2|8|3
1009,lookahead,17185,59,29,budget,1,100,true,6,3260,170,262,0.01694915254237288,0.6271186440677966,0.22033898305084745,0.05084745762711865,0.0847457627118644,12,17,normal,false,7,31,125,5025,3150,2805,6080,false,true,true,6200,5,10985,54,1,4
1010,lookahead,4545,32,2,budget,0,73,false,4,480,86,125,0,1,0,0,0,1,18,normal,false,5,9,0,4305,240,0,0,false,false,false,0,0,4545,32,0,
1011,lookahead,5855,32,2,budget,0,73,true,7,1185,94,159,0.125,0.84375,0.03125,0,0,5,7,normal,false,4,14,285,4670,900,0,0,false,false,true,0,0,5855,32,0,
1012,lookahead,6908,32,2,budget,0,78,true,7,1620,109,186,0.28125,0.71875,0,0,0,3,4,crash,false,3,17,923,5445,540,0,0,false,false,false,0,0,6908,32,0,
1013,lookahead,9888,50,20,budget,0,94,true,5,1280,143,212,0.1,0.7,0.18,0.02,0,12,4,normal,false,5,27,263,6310,1830,1485,0,true,false,true,0,0,9888,50,0,
1014,lookahead,3074,30,0,budget,0,53,true,6,570,70,128,0.5666666666666667,0.43333333333333335,0,0,0,4,6,crash,false,4,12,1119,1955,0,0,0,false,false,false,0,0,3074,30,0,
1015,lookahead,23725,71,41,budget,1,100,true,7,3160,248,367,0.014084507042253521,0.7323943661971831,0.16901408450704225,0.014084507042253521,0.07042253521126761,17,3,normal,false,3,41,15,11140,4200,90,8280,false,false,false,7950,5,15775,66,1,4
1016,lookahead,7883,32,2,budget,0,73,true,5,1245,128,212,0.09375,0.875,0.03125,0,0,3,2,normal,false,2,18,203,7470,210,0,0,false,false,true,0,0,7883,32,0,
1017,lookahead,102735,248,218,budget,14,100,true,7,5340,799,1127,0.03225806451612903,0.2782258064516129,0.27419354838709675,0.13306451612903225,0.28225806451612906,74,4,normal,false,9,155,570,8590,24350,22665,46560,false,true,true,43935,70,58800,178,12,2|4|4|4|3|7|4|2|3|3|12|2
1018,lookahead,6970,30,0,budget,0,54,true,6,1395,100,168,0.03333333333333333,0.9666666666666667,0,0,0,1,4,normal,false,3,16,165,6805,0,0,0,false,false,true,0,0,6970,30,0,
1019,lookahead,11701,45,15,budget,1,100,true,6,1820,145,225,0.044444444444444446,0.6888888888888889,0.1111111111111111,0.044444444444444446,0.1111111111111111,7,2,normal,false,8,22,616,5705,1410,570,3400,false,true,false,2680,5,9021,40,1,3
1020,lookahead,4530,30,0,budget,0,61,true,4,675,93,141,0.1,0.9,0,0,0,3,7,normal,false,7,10,190,4340,0,0,0,false,false,false,0,0,4530,30,0,
1021,lookahead,3707,21,0,lock,0,53,true,7,1795,46,114,0.5714285714285714,0.42857142857142855,0,0,0,1,15,crash,false,6,5,792,2915,0,0,0,false,false,false,0,0,3707,21,0,
1022,lookahead,7504,32,2,budget,0,72,true,5,1235,121,180,0.15625,0.84375,0,0,0,3,9,normal,false,8,15,314,6920,270,0,0,false,false,true,0,0,7504,32,0,
1023,lookahead,4745,30,0,budget,0,62,true,6,1125,76,126,0.16666666666666666,0.8333333333333334,0,0,0,4,9,crash,false,3,16,170,4575,0,0,0,false,false,false,0,0,4745,30,0,
1024,lookahead,21353,83,53,budget,1,100,true,6,2880,261,391,0.012048192771084338,0.6506024096385542,0.2289156626506024,0.04819277108433735,0.060240963855421686,21,1,normal,false,8,43,473,8555,5930,4935,1460,false,true,false,1490,5,19863,78,1,6
1025,lookahead,21730,71,41,budget,1,100,false,7,2805,250,359,0,0.704225352112676,0.18309859154929578,0.04225352112676056,0.07042253521126761,17,7,normal,false,6,39,0,9755,5840,5175,960,false,true,false,3525,5,18205,66,1,2
1026,lookahead,20448,56,26,budget,2,100,true,6,2400,202,291,0.017857142857142856,0.6071428571428571,0.16071428571428573,0.03571428571428571,0.17857142857142858,9,1,normal,false,5,29,353,6450,1630,1035,10980,false,true,false,8770,10,11678,46,2,4|5
