seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1816,tempted_1_25,4361,30,0,budget,0,55,true,4,700,101,166,0.26666666666666666,0.7333333333333333,0,0,0,5,13,crash,false,5,16,576,3785,0,0,0,false,false,true,0,0,4361,30,0,
1817,tempted_1_25,4384,32,2,budget,0,75,true,5,458,87,161,0.09375,0.875,0.03125,0,0,2,5,normal,false,11,11,369,3715,300,0,0,false,false,false,0,0,4384,32,0,
1818,tempted_1_25,3876,30,0,budget,0,62,true,4,580,91,148,0.26666666666666666,0.7333333333333333,0,0,0,4,11,normal,false,3,12,741,3135,0,0,0,false,false,true,0,0,3876,30,0,
1819,tempted_1_25,2701,30,0,budget,0,50,true,3,235,83,145,0.5666666666666667,0.43333333333333335,0,0,0,5,5,crash,false,7,9,1466,1235,0,0,0,false,false,true,0,0,2701,30,0,
1820,tempted_1_25,2627,32,2,budget,0,72,true,3,440,75,108,0.21875,0.75,0.03125,0,0,2,14,normal,false,7,11,277,1910,440,0,0,false,false,false,0,0,2627,32,0,
1821,tempted_1_25,5664,34,4,budget,0,71,true,8,2075,102,168,0.23529411764705882,0.7647058823529411,0,0,0,4,10,crash,false,5,16,684,4980,0,0,0,false,false,false,0,0,5664,34,0,
1822,tempted_1_25,3773,32,2,budget,0,76,true,3,435,97,144,0.09375,0.875,0.03125,0,0,2,18,normal,false,5,15,113,3480,180,0,0,false,false,true,0,0,3773,32,0,
1823,tempted_1_25,2200,30,0,budget,0,50,true,4,720,53,120,0.6333333333333333,0.36666666666666664,0,0,0,2,22,crash,false,5,8,735,1465,0,0,0,false,false,false,0,0,2200,30,0,
1824,tempted_1_25,2500,30,0,budget,0,65,true,4,420,59,103,0.3,0.7,0,0,0,1,23,crash,false,7,8,175,2325,0,0,0,false,false,false,0,0,2500,30,0,
1825,tempted_1_25,6403,43,13,budget,1,100,true,5,720,136,175,0.11627906976744186,0.7209302325581395,0.023255813953488372,0.023255813953488372,0.11627906976744186,6,1,crash,false,6,21,198,4255,120,270,1560,false,false,false,1290,5,5113,38,1,2
1826,tempted_1_25,2849,30,0,budget,0,60,true,4,470,72,121,0.43333333333333335,0.5666666666666667,0,0,0,2,7,normal,false,10,12,759,2090,0,0,0,false,false,true,0,0,2849,30,0,
1827,tempted_1_25,3583,30,0,budget,0,50,true,5,795,61,147,0.4,0.6,0,0,0,3,12,normal,false,8,12,703,2880,0,0,0,false,false,true,0,0,3583,30,0,
1828,tempted_1_25,13305,51,21,budget,1,100,true,8,4320,174,251,0,0.8431372549019608,0.058823529411764705,0,0.09803921568627451,8,1,normal,false,6,21,60,6595,3770,1260,1620,false,false,true,1640,5,11665,46,1,3
1829,tempted_1_25,5201,30,0,budget,0,69,true,5,815,105,149,0.1,0.9,0,0,0,2,7,normal,false,3,12,261,4940,0,0,0,false,false,false,0,0,5201,30,0,
1830,tempted_1_25,6728,30,0,budget,0,50,true,7,1490,123,214,0.23333333333333334,0.7666666666666667,0,0,0,4,10,normal,false,4,17,753,5975,0,0,0,false,false,false,0,0,6728,30,0,
1831,tempted_1_25,4400,32,2,budget,0,80,false,4,640,116,143,0,0.96875,0.03125,0,0,1,28,normal,false,7,10,0,4220,180,0,0,false,false,false,0,0,4400,32,0,
1832,tempted_1_25,2362,30,0,budget,0,59,true,3,225,74,110,0.4,0.6,0,0,0,3,8,normal,false,8,10,532,1830,0,0,0,false,false,true,0,0,2362,30,0,
1833,tempted_1_25,10269,49,19,budget,1,100,true,4,1020,169,261,0.2857142857142857,0.4489795918367347,0.12244897959183673,0.04081632653061224,0.10204081632653061,9,9,crash,false,5,25,1189,2770,2250,1320,2740,false,false,false,3070,5,7199,44,1,5
1834,tempted_1_25,29970,110,80,budget,4,100,true,6,3975,360,462,0.00909090909090909,0.5272727272727272,0.22727272727272727,0.05454545454545454,0.18181818181818182,26,3,normal,false,6,57,30,8095,4120,6345,11380,false,true,true,12450,20,17520,90,4,3|2|4|2
1835,tempted_1_25,9660,36,6,budget,0,83,false,7,2230,166,237,0,0.9444444444444444,0.05555555555555555,0,0,3,2,normal,false,6,19,0,8700,960,0,0,false,false,true,0,0,9660,36,0,
1836,tempted_1_25,16370,58,28,budget,2,100,true,5,2475,189,254,0.1206896551724138,0.5344827586206896,0.13793103448275862,0.034482758620689655,0.1724137931034483,11,9,normal,false,5,29,230,4210,2880,3330,5720,false,true,true,8385,10,7985,48,1,6
1837,tempted_1_25,14311,46,24,lock,2,100,true,5,1980,152,217,0.08695652173913043,0.5652173913043478,0.13043478260869565,0,0.21739130434782608,8,6,normal,false,7,19,361,3740,2050,720,7440,false,false,true,7950,10,6361,36,1,2
1838,tempted_1_25,5333,30,0,budget,0,59,true,5,1220,112,157,0.2,0.8,0,0,0,4,9,normal,false,5,14,418,4915,0,0,0,false,false,true,0,0,5333,30,0,
1839,tempted_1_25,5439,44,14,budget,0,96,true,3,465,123,177,0.1590909090909091,0.6818181818181818,0.13636363636363635,0.022727272727272728,0,8,4,crash,false,7,17,324,3645,1200,270,0,true,true,false,0,0,5439,44,0,
1840,tempted_1_25,7583,41,11,budget,1,100,true,4,1160,123,159,0.04878048780487805,0.7317073170731707,0.07317073170731707,0.024390243902439025,0.12195121951219512,4,16,normal,false,6,19,53,3035,960,675,2860,false,false,false,2940,5,4643,36,1,4
1841,tempted_1_25,5644,38,8,budget,0,86,true,6,980,110,163,0.15789473684210525,0.7894736842105263,0.05263157894736842,0,0,4,5,normal,false,5,13,179,4640,420,405,0,false,false,false,0,0,5644,38,0,
