knob,value,bot,medianScore,p10Score,p90Score,medianMoves,p90Moves,maxMoves,pctBudgetEnd,avgFrenzies,pctRunsWithFrenzy,pctRunsWithTierUp,medianLongestDryGap
frenzyMoves,5,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
frenzyMoves,7,casual,3304,1915,8681,27,46,83,0.942,0.152,0.12,0.914,5
frenzyMoves,7,ketoBig,4464,2481,12744,32,54,107,0.926,0.302,0.232,0.942,5
frenzyMoves,7,lookahead,5575.5,3170,21565,29,56,115,0.94,0.44,0.2866666666666667,0.9066666666666666,5
frenzyLand,55,casual,3304,1915,7800,27,44,76,0.94,0.136,0.12,0.914,5
frenzyLand,55,ketoBig,4464,2481,11115,32.5,52,82,0.926,0.278,0.232,0.942,5
frenzyLand,55,lookahead,5575.5,3170,16196,29,53,95,0.9333333333333333,0.4,0.2866666666666667,0.9066666666666666,5
frenzyLand,70,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
frenzyLand,70,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
frenzyLand,70,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
frenzyLand,80,casual,3304,1915,8792,27,47,87,0.94,0.174,0.12,0.914,5
frenzyLand,80,ketoBig,4464,2481,13500,33,58,140,0.92,0.382,0.232,0.942,5
frenzyLand,80,lookahead,5575.5,3170,30548,29,78,167,0.9333333333333333,0.7466666666666667,0.2866666666666667,0.9066666666666666,5
carbLoss,2,casual,13875,2775,37050,66.5,137,307,0.854,2.006,0.694,0.928,6
carbLoss,2,ketoBig,23495,4695,56390,85,188,425,0.832,3.268,0.822,0.978,6
carbLoss,2,lookahead,65347.5,6368,221450,144,483,1056,0.64,10.713333333333333,0.86,0.9733333333333334,6
carbLoss,3,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
carbLoss,3,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
carbLoss,3,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
carbLoss,4,casual,2609.5,1653,4733,25,33,59,0.95,0.044,0.042,0.96,5
carbLoss,4,ketoBig,3157.5,1986,6329,27,37,58,0.946,0.112,0.102,0.978,5
